stateName,placeName,DisasterCount Biological,DisasterCount Drought,DisasterCount Earthquake,DisasterCount Fire,DisasterCount Flood,DisasterCount Hurricane,DisasterCount Severe Storm,DisasterCount Snowstorm,DisasterCount Tornado,Total RiskScore
Alabama                       ,Autauga (County),9,2,0,0,14,55,66,2,0,618
Alabama                       ,Baldwin (County),9,2,0,0,10,179,68,2,12,1152
Alabama                       ,Barbour (County),9,2,0,0,12,42,102,2,0,710
Alabama                       ,Bibb (County),9,2,0,0,12,36,55,2,0,488
Alabama                       ,Blount (County),9,2,0,0,12,14,126,2,12,728
Alabama                       ,Bullock (County),9,2,0,0,12,41,77,2,0,598
Alabama                       ,Butler (County),9,2,0,0,0,78,89,2,0,738
Alabama                       ,Calhoun (County),9,2,0,0,0,43,87,2,0,612
Alabama                       ,Chambers (County),9,2,0,0,4,35,97,2,0,622
Alabama                       ,Cherokee (County),9,2,0,1,0,38,99,2,12,674
Alabama                       ,Chilton (County),9,2,0,0,14,40,59,2,12,586
Alabama                       ,Choctaw (County),9,2,0,0,18,92,59,2,12,806
Alabama                       ,Clarke (County),9,2,0,0,0,120,46,2,12,788
Alabama                       ,Clay (County),9,2,0,0,26,44,73,2,0,654
Alabama                       ,Cleburne (County),9,2,0,0,14,37,39,2,13,492
Alabama                       ,Coffee (County),9,2,0,0,24,70,104,2,0,872
Alabama                       ,Colbert (County),9,2,0,0,12,31,96,2,24,708
Alabama                       ,Conecuh (County),9,2,0,0,12,81,69,2,0,728
Alabama                       ,Coosa (County),9,2,0,0,14,48,53,2,0,540
Alabama                       ,Covington (County),9,2,0,0,12,91,125,2,0,990
Alabama                       ,Crenshaw (County),9,2,0,0,12,70,96,2,0,786
Alabama                       ,Cullman (County),9,2,0,0,36,43,144,2,24,1060
Alabama                       ,Dale (County),9,2,0,0,24,42,133,2,1,894
Alabama                       ,Dallas (County),9,2,0,0,24,57,68,2,0,686
Alabama                       ,DeKalb (County),9,2,0,1,28,34,173,2,12,1068
Alabama                       ,Elmore (County),9,2,0,0,16,48,84,2,0,664
Alabama                       ,Escambia (County),9,2,0,0,12,92,58,2,12,780
Alabama                       ,Etowah (County),9,2,0,1,28,26,119,2,24,882
Alabama                       ,Fayette (County),9,2,0,1,12,14,79,2,12,534
Alabama                       ,Franklin (County),9,2,0,1,12,22,67,2,24,566
Alabama                       ,Geneva (County),9,2,0,0,24,100,102,2,0,988
Alabama                       ,Greene (County),9,2,0,0,4,46,61,2,12,568
Alabama                       ,Hale (County),9,2,0,0,16,55,63,2,12,658
Alabama                       ,Henry (County),9,2,0,0,0,47,125,2,0,764
Alabama                       ,Houston (County),9,2,0,0,4,64,99,2,0,752
Alabama                       ,Jackson (County),9,2,0,2,16,22,93,2,28,724
Alabama                       ,Jefferson (County),9,2,0,1,40,48,151,2,18,1156
Alabama                       ,Lamar (County),9,2,0,0,12,31,109,2,24,762
Alabama                       ,Lauderdale (County),9,2,0,0,12,23,69,2,12,528
Alabama                       ,Lawrence (County),9,2,0,0,12,22,73,2,24,600
Alabama                       ,Lee (County),9,2,0,0,12,38,52,2,14,558
Alabama                       ,Limestone (County),9,2,0,0,4,14,91,2,24,608
Alabama                       ,Lowndes (County),9,2,0,0,12,66,27,2,0,498
Alabama                       ,MOWA Choctaw (SAIR),7,0,0,0,0,0,0,0,0,32
Alabama                       ,Macon (County),9,2,0,0,12,38,74,2,6,616
Alabama                       ,Madison (County),9,2,0,0,12,14,67,2,36,596
Alabama                       ,Marengo (County),9,2,0,0,4,72,30,2,0,500
Alabama                       ,Marion (County),9,2,0,0,12,31,106,2,24,760
Alabama                       ,Marshall (County),9,2,0,0,40,22,140,2,12,938
Alabama                       ,Mobile (County),9,2,0,0,12,202,77,2,12,1296
Alabama                       ,Monroe (County),9,2,0,0,12,95,37,2,1,654
Alabama                       ,Montgomery (County),9,2,0,0,16,41,42,2,2,504
Alabama                       ,Morgan (County),9,2,0,0,24,14,86,2,24,674
Alabama                       ,Perry (County),9,2,0,0,12,64,73,2,0,652
Alabama                       ,Pickens (County),9,2,0,0,12,49,26,2,12,472
Alabama                       ,Pike (County),9,2,0,0,12,55,57,2,0,568
Alabama                       ,Poarch Band of Creek Indians,15,0,0,0,0,16,0,0,0,138
Alabama                       ,Randolph (County),9,2,0,0,6,44,100,2,0,680
Alabama                       ,Russell (County),9,2,0,0,0,32,107,2,0,640
Alabama                       ,Shelby (County),9,2,0,1,28,27,71,2,6,638
Alabama                       ,St. Clair (County),9,2,0,0,40,27,124,2,18,938
Alabama                       ,Sumter (County),9,2,0,0,4,49,37,2,12,490
Alabama                       ,Talladega (County),9,2,0,0,30,48,55,2,1,628
Alabama                       ,Tallapoosa (County),9,2,0,0,12,38,67,2,0,540
Alabama                       ,Tuscaloosa (County),9,2,0,0,24,46,98,2,24,854
Alabama                       ,Walker (County),9,2,0,1,24,14,94,2,24,706
Alabama                       ,Washington (County),9,2,0,1,12,99,46,2,0,708
Alabama                       ,Wilcox (County),9,2,0,0,12,55,50,2,12,584
Alabama                       ,Winston (County),9,2,0,0,24,31,104,2,24,798
Alaska                        ,Alaska Gateway Regional Educational Attendance Area,10,0,0,0,29,0,9,0,0,194
Alaska                        ,Aleutian Islands (Census Subarea),0,0,0,0,0,0,0,0,0,28
Alaska                        ,Aleutian Region Regional Educational Attendance Area,10,0,0,0,0,0,0,0,0,46
Alaska                        ,Aleutians East (Borough),10,0,0,0,0,0,2,0,0,56
Alaska                        ,Aleutians East Borough School District,7,0,0,0,0,0,0,0,0,30
Alaska                        ,Aleutians West (Census Area),7,0,0,0,0,0,9,0,0,64
Alaska                        ,Anchorage (Borough),10,0,16,0,8,0,15,0,0,200
Alaska                        ,Annette Island Regional Educational Attendance Area,10,0,0,0,0,0,0,0,0,46
Alaska                        ,Bering Strait Regional Educational Attendance Area,10,0,0,0,9,0,48,0,0,262
Alaska                        ,Bethel (Census Area),7,0,0,0,26,0,2,8,0,204
Alaska                        ,Bristol Bay (Borough),10,0,0,0,0,0,2,0,0,60
Alaska                        ,Chatham Regional Educational Attendance Area,10,0,0,0,0,0,0,0,0,80
Alaska                        ,Chignik Lagoon (ANV/ANVSA),0,0,0,0,0,0,14,0,0,54
Alaska                        ,Chignik Lake (ANV/ANVSA),0,0,0,0,0,0,14,0,0,54
Alaska                        ,Chugach Regional Educational Attendance Area,10,0,0,0,0,0,27,0,0,148
Alaska                        ,Copper River Regional Educational Attendance Area,10,0,0,0,33,0,9,0,0,208
Alaska                        ,Crooked Creek (ANV/ANVSA),0,0,0,0,23,0,0,0,0,92
Alaska                        ,Delta-Greely Regional Educational Attendance Area,2,0,0,0,0,0,0,0,0,10
Alaska                        ,Denali (Borough),10,0,9,3,0,0,38,0,0,244
Alaska                        ,Dillingham (Census Area),7,0,0,0,14,0,2,0,0,126
